County,Population,,,,,,,,,,,,,,,,,,,,,
".Accomack County, Virginia","33,411",,,,,,,,,,,,,,,,,,,,,
".Albemarle County, Virginia","117,313",,,,,,,,,,,,,,,,,,,,,
".Alleghany County, Virginia","14,632",,,,,,,,,,,,,,,,,,,,,
".Amelia County, Virginia","13,716",,,,,,,,,,,,,,,,,,,,,
".Amherst County, Virginia","31,650",,,,,,,,,,,,,,,,,,,,,
".Appomattox County, Virginia","16,957",,,,,,,,,,,,,,,,,,,,,
".Arlington County, Virginia","239,807",,,,,,,,,,,,,,,,,,,,,
".Augusta County, Virginia","78,622",,,,,,,,,,,,,,,,,,,,,
".Bath County, Virginia","4,071",,,,,,,,,,,,,,,,,,,,,
".Bedford County, Virginia","82,182",,,,,,,,,,,,,,,,,,,,,
".Bland County, Virginia","6,186",,,,,,,,,,,,,,,,,,,,,
".Botetourt County, Virginia","34,129",,,,,,,,,,,,,,,,,,,,,
".Brunswick County, Virginia","15,750",,,,,,,,,,,,,,,,,,,,,
".Buchanan County, Virginia","18,632",,,,,,,,,,,,,,,,,,,,,
".Buckingham County, Virginia","17,115",,,,,,,,,,,,,,,,,,,,,
".Campbell County, Virginia","55,342",,,,,,,,,,,,,,,,,,,,,
".Caroline County, Virginia","33,477",,,,,,,,,,,,,,,,,,,,,
".Carroll County, Virginia","29,242",,,,,,,,,,,,,,,,,,,,,
".Charles City County, Virginia","6,564",,,,,,,,,,,,,,,,,,,,,
".Charlotte County, Virginia","11,258",,,,,,,,,,,,,,,,,,,,,
".Chesterfield County, Virginia","389,793",,,,,,,,,,,,,,,,,,,,,
".Clarke County, Virginia","15,598",,,,,,,,,,,,,,,,,,,,,
".Craig County, Virginia","4,829",,,,,,,,,,,,,,,,,,,,,
".Culpeper County, Virginia","56,125",,,,,,,,,,,,,,,,,,,,,
".Cumberland County, Virginia","10,062",,,,,,,,,,,,,,,,,,,,,
".Dickenson County, Virginia","13,411",,,,,,,,,,,,,,,,,,,,,
".Dinwiddie County, Virginia","28,576",,,,,,,,,,,,,,,,,,,,,
".Essex County, Virginia","10,683",,,,,,,,,,,,,,,,,,,,,
".Fairfax County, Virginia","1,160,925",,,,,,,,,,,,,,,,,,,,,
".Fauquier County, Virginia","75,865",,,,,,,,,,,,,,,,,,,,,
".Floyd County, Virginia","15,658",,,,,,,,,,,,,,,,,,,,,
".Fluvanna County, Virginia","28,746",,,,,,,,,,,,,,,,,,,,,
".Franklin County, Virginia","55,637",,,,,,,,,,,,,,,,,,,,,
".Frederick County, Virginia","98,109",,,,,,,,,,,,,,,,,,,,,
".Giles County, Virginia","16,533",,,,,,,,,,,,,,,,,,,,,
".Gloucester County, Virginia","40,154",,,,,,,,,,,,,,,,,,,,,
".Goochland County, Virginia","28,223",,,,,,,,,,,,,,,,,,,,,
".Grayson County, Virginia","15,265",,,,,,,,,,,,,,,,,,,,,
".Greene County, Virginia","21,744",,,,,,,,,,,,,,,,,,,,,
".Greensville County, Virginia","11,150",,,,,,,,,,,,,,,,,,,,,
".Halifax County, Virginia","33,448",,,,,,,,,,,,,,,,,,,,,
".Hanover County, Virginia","115,309",,,,,,,,,,,,,,,,,,,,,
".Henrico County, Virginia","338,696",,,,,,,,,,,,,,,,,,,,,
".Henry County, Virginia","49,385",,,,,,,,,,,,,,,,,,,,,
".Highland County, Virginia","2,348",,,,,,,,,,,,,,,,,,,,,
".Isle of Wight County, Virginia","40,942",,,,,,,,,,,,,,,,,,,,,
".James City County, Virginia","82,797",,,,,,,,,,,,,,,,,,,,,
".King and Queen County, Virginia","6,747",,,,,,,,,,,,,,,,,,,,,
".King George County, Virginia","28,816",,,,,,,,,,,,,,,,,,,,,
".King William County, Virginia","19,232",,,,,,,,,,,,,,,,,,,,,
".Lancaster County, Virginia","11,062",,,,,,,,,,,,,,,,,,,,,
".Lee County, Virginia","21,780",,,,,,,,,,,,,,,,,,,,,
".Loudoun County, Virginia","443,380",,,,,,,,,,,,,,,,,,,,,
".Louisa County, Virginia","42,109",,,,,,,,,,,,,,,,,,,,,
".Lunenburg County, Virginia","12,060",,,,,,,,,,,,,,,,,,,,,
".Madison County, Virginia","14,252",,,,,,,,,,,,,,,,,,,,,
".Mathews County, Virginia","8,602",,,,,,,,,,,,,,,,,,,,,
".Mecklenburg County, Virginia","30,824",,,,,,,,,,,,,,,,,,,,,
".Middlesex County, Virginia","10,949",,,,,,,,,,,,,,,,,,,,,
".Montgomery County, Virginia","98,998",,,,,,,,,,,,,,,,,,,,,
".Nelson County, Virginia","14,766",,,,,,,,,,,,,,,,,,,,,
".New Kent County, Virginia","27,218",,,,,,,,,,,,,,,,,,,,,
".Northampton County, Virginia","12,004",,,,,,,,,,,,,,,,,,,,,
".Northumberland County, Virginia","12,397",,,,,,,,,,,,,,,,,,,,,
".Nottoway County, Virginia","15,632",,,,,,,,,,,,,,,,,,,,,
".Orange County, Virginia","38,986",,,,,,,,,,,,,,,,,,,,,
".Page County, Virginia","23,686",,,,,,,,,,,,,,,,,,,,,
".Patrick County, Virginia","17,308",,,,,,,,,,,,,,,,,,,,,
".Pittsylvania County, Virginia","59,410",,,,,,,,,,,,,,,,,,,,,
".Powhatan County, Virginia","32,392",,,,,,,,,,,,,,,,,,,,,
".Prince Edward County, Virginia","22,276",,,,,,,,,,,,,,,,,,,,,
".Prince George County, Virginia","43,589",,,,,,,,,,,,,,,,,,,,,
".Prince William County, Virginia","497,003",,,,,,,,,,,,,,,,,,,,,
".Pulaski County, Virginia","33,579",,,,,,,,,,,,,,,,,,,,,
".Rappahannock County, Virginia","7,479",,,,,,,,,,,,,,,,,,,,,
".Richmond County, Virginia","9,215",,,,,,,,,,,,,,,,,,,,,
".Roanoke County, Virginia","97,334",,,,,,,,,,,,,,,,,,,,,
".Rockbridge County, Virginia","22,368",,,,,,,,,,,,,,,,,,,,,
".Rockingham County, Virginia","87,674",,,,,,,,,,,,,,,,,,,,,
".Russell County, Virginia","25,420",,,,,,,,,,,,,,,,,,,,,
".Scott County, Virginia","21,388",,,,,,,,,,,,,,,,,,,,,
".Shenandoah County, Virginia","45,441",,,,,,,,,,,,,,,,,,,,,
".Smyth County, Virginia","29,137",,,,,,,,,,,,,,,,,,,,,
".Southampton County, Virginia","17,941",,,,,,,,,,,,,,,,,,,,,
".Spotsylvania County, Virginia","152,021",,,,,,,,,,,,,,,,,,,,,
".Stafford County, Virginia","168,919",,,,,,,,,,,,,,,,,,,,,
".Surry County, Virginia","6,579",,,,,,,,,,,,,,,,,,,,,
".Sussex County, Virginia","10,753",,,,,,,,,,,,,,,,,,,,,
".Tazewell County, Virginia","38,875",,,,,,,,,,,,,,,,,,,,,
".Warren County, Virginia","42,461",,,,,,,,,,,,,,,,,,,,,
".Washington County, Virginia","54,098",,,,,,,,,,,,,,,,,,,,,
".Westmoreland County, Virginia","19,235",,,,,,,,,,,,,,,,,,,,,
".Wise County, Virginia","34,973",,,,,,,,,,,,,,,,,,,,,
".Wythe County, Virginia","28,100",,,,,,,,,,,,,,,,,,,,,
".York County, Virginia","71,410",,,,,,,,,,,,,,,,,,,,,
".Alexandria city, Virginia","159,102",,,,,,,,,,,,,,,,,,,,,
".Bristol city, Virginia","16,316",,,,,,,,,,,,,,,,,,,,,
".Buena Vista city, Virginia","6,581",,,,,,,,,,,,,,,,,,,,,
".Charlottesville city, Virginia","44,767",,,,,,,,,,,,,,,,,,,,,
".Chesapeake city, Virginia","254,997",,,,,,,,,,,,,,,,,,,,,
".Colonial Heights city, Virginia","18,674",,,,,,,,,,,,,,,,,,,,,
".Covington city, Virginia","5,663",,,,,,,,,,,,,,,,,,,,,
".Danville city, Virginia","41,993",,,,,,,,,,,,,,,,,,,,,
".Emporia city, Virginia","5,402",,,,,,,,,,,,,,,,,,,,,
".Fairfax city, Virginia","26,340",,,,,,,,,,,,,,,,,,,,,
".Falls Church city, Virginia","15,034",,,,,,,,,,,,,,,,,,,,,
".Franklin city, Virginia","8,373",,,,,,,,,,,,,,,,,,,,,
".Fredericksburg city, Virginia","29,992",,,,,,,,,,,,,,,,,,,,,
".Galax city, Virginia","6,739",,,,,,,,,,,,,,,,,,,,,
".Hampton city, Virginia","137,596",,,,,,,,,,,,,,,,,,,,,
".Harrisonburg city, Virginia","51,164",,,,,,,,,,,,,,,,,,,,,
".Hopewell city, Virginia","22,970",,,,,,,,,,,,,,,,,,,,,
".Lexington city, Virginia","7,802",,,,,,,,,,,,,,,,,,,,,
".Lynchburg city, Virginia","80,301",,,,,,,,,,,,,,,,,,,,,
".Manassas city, Virginia","43,616",,,,,,,,,,,,,,,,,,,,,
".Manassas Park city, Virginia","16,611",,,,,,,,,,,,,,,,,,,,,
".Martinsville city, Virginia","13,834",,,,,,,,,,,,,,,,,,,,,
".Newport News city, Virginia","183,056",,,,,,,,,,,,,,,,,,,,,
".Norfolk city, Virginia","231,105",,,,,,,,,,,,,,,,,,,,,
".Norton city, Virginia","3,478",,,,,,,,,,,,,,,,,,,,,
".Petersburg city, Virginia","34,058",,,,,,,,,,,,,,,,,,,,,
".Poquoson city, Virginia","12,854",,,,,,,,,,,,,,,,,,,,,
".Portsmouth city, Virginia","96,482",,,,,,,,,,,,,,,,,,,,,
".Radford city, Virginia","17,273",,,,,,,,,,,,,,,,,,,,,
".Richmond city, Virginia","233,655",,,,,,,,,,,,,,,,,,,,,
".Roanoke city, Virginia","97,912",,,,,,,,,,,,,,,,,,,,,
".Salem city, Virginia","25,908",,,,,,,,,,,,,,,,,,,,,
".Staunton city, Virginia","26,361",,,,,,,,,,,,,,,,,,,,,
".Suffolk city, Virginia","103,105",,,,,,,,,,,,,,,,,,,,,
".Virginia Beach city, Virginia","454,808",,,,,,,,,,,,,,,,,,,,,
".Waynesboro city, Virginia","23,498",,,,,,,,,,,,,,,,,,,,,
".Williamsburg city, Virginia","16,030",,,,,,,,,,,,,,,,,,,,,
".Winchester city, Virginia","27,800",,,,,,,,,,,,,,,,,,,,,
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0078).",,,,,,,,,,,,,,,,,,,,,,
"Note: The estimates are developed from a base that integrates the 2020 Census, Vintage 2020 estimates, and 2020 Demographic Analysis estimates.  For population estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. All geographic boundaries for the 2024 population estimates series are as of January 1, 2024.",,,,,,,,,,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,,,,,,,,,,
"Annual Estimates of the Resident Population for Counties in Virginia: April 1, 2020 to July 1, 2024 (CO-EST2024-POP-51)",,,,,,,,,,,,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,,,,,,,,,,,
Release Date: March 2025,,,,,,,,,,,,,,,,,,,,,,
